player,grid_number,response
Grover Lowdermilk,574,St. Louis Cardinals / Detroit Tigers
Tony Gwynn,585,San Diego Padres / 100+ Run Season Batting
Francisco Lindor,585,Cleveland Guardians / Played Shortstop min. 1 game
Gerrit Cole,596,Pittsburgh Pirates / 200+ K Season Pitching
Carlos Zambrano,623,Chicago Cubs / Silver Slugger
Stan Musial,647,St. Louis Cardinals / .300+ AVG Career Batting
Vlad Guerrero,673,Los Angeles Angels / Silver Slugger
Zack Greinke,673,Los Angeles Angels / Kansas City Royals
Jim Palmer,679,Baltimore Orioles / 20+ Win Season Pitching
Gunnar Henderson,689,Baltimore Orioles / Rookie of the Year
Dustin Pedroia,701,Boston Red Sox / Played Second Base min. 1 game
Christy Mathewson,715,San Francisco Giants / 20+ Win Season Pitching
Noah Syndergaard,723,Philadelphia Phillies / Los Angeles Angels
Salvador Perez,723,Gold Glove / Kansas City Royals
Ronald Acuna Jr,724,Atlanta Braves / Rookie of the Year
Roger Clemens,752,200+ Wins Career Pitching / Toronto Blue Jays
Jim Edmonds,754,San Diego Padres / Cincinnati Reds
Aroldis Chapman,758,30+ Save Season Pitching / Cincinnati Reds
Albert Pujols,771,St. Louis Cardinals / Rookie of the Year
Aaron Judge,771,New York Yankees / Rookie of the Year
Alex Rodriguez,781,Played Shortstop min. 1 game / Seattle Mariners
Jayson Werth,800,Washington Nationals / Played Left Field min. 1 game
Lance Berkman,823,Houston Astros / 300+ HR Career Batting
Bobby Witt Jr,830,Kansas City Royals / Played Shortstop min. 1 game
Adrian Beltre,842,Seattle Mariners / Los Angeles Dodgers
Ken Griffey Jr.,842,Seattle Mariners / Hall of Fame
Howie Kendrick,845,Los Angeles Angels / Played Second Base min. 1 game
Tony Campana,867,30+ SB Season / Played Major Leagues
Carlos Marmol,878,Chicago Cubs / 30+ Save Season Pitching
Victor Martinez,915,Cleveland Guardians / Played Catcher min. 1 game
Geovany Soto,941,Chicago Cubs / Rookie of the Year
Johnny Bench,959,Cincinnati Reds / Played Catcher min. 1 game
Anthony Rizzo,968,New York Yankees / Played First Base min. 1 game
Fernando Tatis Jr,1004,San Diego Padres / Gold Glove
Henry Aaron,1025,Atlanta Braves / Milwaukee Brewers
Edgar Martinez,1031,Seattle Mariners / Hall of Fame
Blue,1037,Played In Major Negro Lgs / Played In Major Negro Lgs
Alex Bregman,1041,Houston Astros / Boston Red Sox
Josh Gibson,1044,Played In Major Negro Lgs / Played Catcher min. 1 game
Pete Crow-Armstrong,1048,Chicago Cubs / 30+ SB Season
Randy Johnson,1057,Seattle Mariners / San Francisco Giants
Steve Finley,1067,San Diego Padres / Colorado Rockies
Juan Soto,1070,100+ RBI Season Batting / Dominican Republic
David Ortiz,1070,Played First Base min. 1 game / Dominican Republic
Fernando Valenzuela,1071,<= 3.00 ERA Season / Mexico
Anthony Rendon,1093,Washington Nationals / Los Angeles Angels
Kyle Schwarber,1099,Boston Red Sox / Philadelphia Phillies
AJ Pierzynski,1101,Chicago White Sox / Played Catcher min. 1 game
Jonathan Papelbon,1107,Boston Red Sox / 30+ Save Season Pitching
Nick Castellanos,1108,Cincinnati Reds / Detroit Tigers
Max Scherzer,1108,Texas Rangers / Arizona Diamondbacks
Jim Thome,1109,Cleveland Guardians / Played First Base min. 1 game
Chipper Jones,1113,Atlanta Braves / Played Third Base min. 1 game
Nolan Arenado,1113,Colorado Rockies / Played Third Base min. 1 game
Rafael Palmeiro,1135,Baltimore Orioles / Texas Rangers
Mark Teixeira,1145,New York Yankees / Texas Rangers
Jose Ramirez,1155,100+ RBI Season Batting / Cleveland Guardians
