grid_id,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9
1,"('Texas Rangers', 'Toronto  Blue Jays')","('Texas Rangers', 'Hall of Fame')","('Texas Rangers', 'All Star')","('Boston   Red Sox', 'Toronto  Blue Jays')","('Boston   Red Sox', 'Hall of Fame')","('Boston   Red Sox', 'All Star')","('Cincinnati Reds', 'Toronto  Blue Jays')","('Cincinnati Reds', 'Hall of Fame')","('Cincinnati Reds', 'All Star')"
2,"('New York Yankees', 'Washington Nationals')","('New York Yankees', 'All Star')","('New York Yankees', 'World Series Champ WS Roster')","('Houston Astros', 'Washington Nationals')","('Houston Astros', 'All Star')","('Houston Astros', 'World Series Champ WS Roster')","('New York Mets', 'Washington Nationals')","('New York Mets', 'All Star')","('New York Mets', 'World Series Champ WS Roster')"
3,"('Detroit Tigers', 'Minnesota Twins')","('Detroit Tigers', 'MVP')","('Detroit Tigers', 'Cy Young')","('Los Angeles Dodgers', 'Minnesota Twins')","('Los Angeles Dodgers', 'MVP')","('Los Angeles Dodgers', 'Cy Young')","('Atlanta Braves', 'Minnesota Twins')","('Atlanta Braves', 'MVP')","('Atlanta Braves', 'Cy Young')"
4,"('Texas Rangers', 'Baltimore Orioles')","('Texas Rangers', 'Silver Slugger')","('Texas Rangers', 'MVP')","('Miami Marlins', 'Baltimore Orioles')","('Miami Marlins', 'Silver Slugger')","('Miami Marlins', 'MVP')","('San Francisco Giants', 'Baltimore Orioles')","('San Francisco Giants', 'Silver Slugger')","('San Francisco Giants', 'MVP')"
5,"('Chicago Cubs', 'Cleveland Guardians')","('Chicago Cubs', 'Gold Glove')","('Chicago Cubs', 'Cy Young')","('Milwaukee Brewers', 'Cleveland Guardians')","('Milwaukee Brewers', 'Gold Glove')","('Milwaukee Brewers', 'Cy Young')","('New York Mets', 'Cleveland Guardians')","('New York Mets', 'Gold Glove')","('New York Mets', 'Cy Young')"
6,"('New York Yankees', 'Seattle Mariners')","('New York Yankees', 'Cy Young')","('New York Yankees', 'World Series Champ WS Roster')","('Kansas City Royals', 'Seattle Mariners')","('Kansas City Royals', 'Cy Young')","('Kansas City Royals', 'World Series Champ WS Roster')","('Philadelphia Phillies', 'Seattle Mariners')","('Philadelphia Phillies', 'Cy Young')","('Philadelphia Phillies', 'World Series Champ WS Roster')"
7,"('Texas Rangers', 'Boston   Red Sox')","('Texas Rangers', 'Hall of Fame')","('Texas Rangers', 'Gold Glove')","('Cleveland Guardians', 'Boston   Red Sox')","('Cleveland Guardians', 'Hall of Fame')","('Cleveland Guardians', 'Gold Glove')","('Toronto  Blue Jays', 'Boston   Red Sox')","('Toronto  Blue Jays', 'Hall of Fame')","('Toronto  Blue Jays', 'Gold Glove')"
8,"('Houston Astros', 'Chicago Cubs')","('Houston Astros', 'Gold Glove')","('Houston Astros', 'Hall of Fame')","('Minnesota Twins', 'Chicago Cubs')","('Minnesota Twins', 'Gold Glove')","('Minnesota Twins', 'Hall of Fame')","('Atlanta Braves', 'Chicago Cubs')","('Atlanta Braves', 'Gold Glove')","('Atlanta Braves', 'Hall of Fame')"
9,"('Chicago  White Sox', 'Cincinnati Reds')","('Chicago  White Sox', 'Rookie of the Year')","('Chicago  White Sox', 'Gold Glove')","('Pittsburgh Pirates', 'Cincinnati Reds')","('Pittsburgh Pirates', 'Rookie of the Year')","('Pittsburgh Pirates', 'Gold Glove')","('Philadelphia Phillies', 'Cincinnati Reds')","('Philadelphia Phillies', 'Rookie of the Year')","('Philadelphia Phillies', 'Gold Glove')"
10,"('Detroit Tigers', 'New York Yankees')","('Detroit Tigers', 'Gold Glove')","('Detroit Tigers', 'Rookie of the Year')","('Oakland Athletics', 'New York Yankees')","('Oakland Athletics', 'Gold Glove')","('Oakland Athletics', 'Rookie of the Year')","('San Diego Padres', 'New York Yankees')","('San Diego Padres', 'Gold Glove')","('San Diego Padres', 'Rookie of the Year')"
11,"('Kansas City Royals', 'San Diego Padres')","('Kansas City Royals', 'Hall of Fame')","('Kansas City Royals', 'All Star')","('Chicago Cubs', 'San Diego Padres')","('Chicago Cubs', 'Hall of Fame')","('Chicago Cubs', 'All Star')","('Cleveland Guardians', 'San Diego Padres')","('Cleveland Guardians', 'Hall of Fame')","('Cleveland Guardians', 'All Star')"
12,"('San Francisco Giants', 'Houston Astros')","('San Francisco Giants', 'Cy Young')","('San Francisco Giants', 'Rookie of the Year')","('Tampa Bay Rays', 'Houston Astros')","('Tampa Bay Rays', 'Cy Young')","('Tampa Bay Rays', 'Rookie of the Year')","('Milwaukee Brewers', 'Houston Astros')","('Milwaukee Brewers', 'Cy Young')","('Milwaukee Brewers', 'Rookie of the Year')"
13,"('Texas Rangers', 'Philadelphia Phillies')","('Texas Rangers', 'All Star')","('Texas Rangers', 'Gold Glove')","('Chicago Cubs', 'Philadelphia Phillies')","('Chicago Cubs', 'All Star')","('Chicago Cubs', 'Gold Glove')","('Arizona Diamondbacks', 'Philadelphia Phillies')","('Arizona Diamondbacks', 'All Star')","('Arizona Diamondbacks', 'Gold Glove')"
