grid_number,correct,score,date,matrix,name
101,5,590,2023-07-12,"[[false, true, true], [false, true, true], [false, false, true]]",Keith
101,4,655,2023-07-12,"[[false, true, false], [false, false, true], [false, true, true]]",Rachel
101,7,470,2023-07-12,"[[false, false, true], [true, true, true], [true, true, true]]",Sam
101,4,689,2023-07-12,"[[false, true, true], [false, false, true], [false, true, false]]",Will
102,4,703,2023-07-13,"[[false, false, true], [true, false, true], [false, false, true]]",Keith
102,3,805,2023-07-13,"[[false, false, true], [false, false, false], [true, false, true]]",Rachel
102,3,752,2023-07-13,"[[false, false, true], [false, true, false], [false, false, true]]",Will
103,6,468,2023-07-14,"[[true, false, true], [false, false, true], [true, true, true]]",Keith
103,4,635,2023-07-14,"[[false, false, true], [false, false, true], [true, false, true]]",Rachel
103,6,439,2023-07-14,"[[false, true, true], [false, true, true], [true, false, true]]",Sam
103,5,509,2023-07-14,"[[false, false, true], [false, false, true], [true, true, true]]",Will
104,5,486,2023-07-15,"[[true, false, true], [true, true, true], [false, false, false]]",Cliff
104,1,821,2023-07-15,"[[false, false, false], [false, false, true], [false, false, false]]",Keith
104,1,833,2023-07-15,"[[false, false, true], [false, false, false], [false, false, false]]",Rachel
104,1,821,2023-07-15,"[[false, false, false], [false, false, true], [false, false, false]]",Sam
104,1,821,2023-07-15,"[[false, false, false], [false, false, true], [false, false, false]]",Will
105,3,666,2023-07-16,"[[false, false, true], [false, false, true], [false, false, true]]",Cliff
105,4,642,2023-07-16,"[[false, true, true], [false, false, true], [false, false, true]]",Keith
104,5,486,2023-07-16,"[[true, false, true], [true, true, true], [false, false, false]]",Keith
105,4,634,2023-07-16,"[[false, true, true], [false, false, true], [false, false, true]]",Rachel
105,6,492,2023-07-16,"[[false, true, true], [true, true, true], [false, false, true]]",Sam
105,6,549,2023-07-16,"[[false, false, true], [true, true, true], [true, false, true]]",Will
106,8,183,2023-07-17,"[[true, true, true], [true, true, true], [false, true, true]]",Cliff
106,8,183,2023-07-17,"[[true, true, true], [true, true, true], [false, true, true]]",Keith
106,5,637,2023-07-17,"[[true, false, true], [false, true, true], [false, true, false]]",Keith
106,3,731,2023-07-17,"[[false, false, true], [false, false, true], [false, true, false]]",Rachel
106,5,632,2023-07-17,"[[false, false, true], [true, true, true], [false, true, false]]",Sam
106,7,457,2023-07-17,"[[false, true, true], [true, true, true], [false, true, true]]",Will
107,6,403,2023-07-18,"[[true, true, true], [false, false, true], [false, true, true]]",Keith
107,3,682,2023-07-18,"[[false, false, true], [false, false, true], [false, false, true]]",Rachel
107,5,590,2023-07-18,"[[false, false, true], [false, false, true], [true, true, true]]",Sam
107,6,456,2023-07-18,"[[false, true, true], [false, false, true], [true, true, true]]",Will
108,4,559,2023-07-19,"[[false, false, true], [false, false, true], [true, false, true]]",Keith
108,4,570,2023-07-19,"[[false, false, true], [false, false, true], [true, false, true]]",Rachel
108,6,386,2023-07-19,"[[false, true, true], [false, false, true], [true, true, true]]",Sam
108,5,456,2023-07-19,"[[false, false, true], [false, false, true], [true, true, true]]",Will
109,7,300,2023-07-20,"[[false, true, true], [false, true, true], [true, true, true]]",Cliff
109,5,606,2023-07-20,"[[true, true, false], [false, false, true], [false, true, true]]",Keith
109,5,631,2023-07-20,"[[false, true, true], [false, false, true], [false, true, true]]",Rachel
109,4,674,2023-07-20,"[[false, false, true], [false, false, true], [true, false, true]]",Sam
109,3,765,2023-07-20,"[[false, false, true], [false, false, true], [false, false, true]]",Will
110,3,646,2023-07-21,"[[false, true, false], [true, true, false], [false, false, false]]",Cliff
110,3,637,2023-07-21,"[[false, true, false], [false, true, true], [false, false, false]]",Keith
110,2,804,2023-07-21,"[[false, true, false], [false, false, false], [false, true, false]]",Rachel
110,4,689,2023-07-21,"[[false, true, true], [false, false, true], [false, true, false]]",Sam
110,2,805,2023-07-21,"[[false, true, false], [false, false, false], [false, true, false]]",Will
111,2,737,2023-07-22,"[[false, false, true], [false, true, false], [false, false, false]]",Keith
111,2,736,2023-07-22,"[[false, false, true], [false, true, false], [false, false, false]]",Keith
111,3,721,2023-07-22,"[[false, false, true], [false, false, false], [true, false, true]]",Rachel
111,6,556,2023-07-22,"[[false, false, true], [false, true, true], [true, true, true]]",Sam
112,3,618,2023-07-23,"[[true, false, false], [true, false, false], [true, false, false]]",Keith
112,4,574,2023-07-23,"[[true, false, false], [true, false, false], [true, true, false]]",Rachel
112,5,524,2023-07-23,"[[true, false, false], [true, false, true], [true, true, false]]",Sam
112,5,502,2023-07-23,"[[true, false, false], [true, false, true], [true, true, false]]",Will
113,6,444,2023-07-24,"[[true, true, true], [false, false, true], [true, false, true]]",Keith
113,4,594,2023-07-24,"[[true, false, true], [false, false, false], [true, false, true]]",Rachel
113,5,556,2023-07-24,"[[true, false, true], [false, false, true], [true, false, true]]",Sam
114,6,405,2023-07-25,"[[true, false, true], [false, false, true], [true, true, true]]",Cliff
114,4,643,2023-07-25,"[[false, false, false], [true, false, true], [false, true, true]]",Keith
114,3,675,2023-07-25,"[[false, false, false], [false, false, true], [false, true, true]]",Rachel
114,6,423,2023-07-25,"[[true, true, false], [false, false, true], [true, true, true]]",Sam
114,4,580,2023-07-25,"[[false, false, false], [false, false, true], [true, true, true]]",Will
115,7,327,2023-07-26,"[[true, false, true], [false, true, true], [true, true, true]]",Keith
115,2,709,2023-07-26,"[[false, false, false], [false, false, true], [false, false, true]]",Rachel
115,5,553,2023-07-26,"[[true, false, true], [false, false, true], [true, false, true]]",Sam
115,6,422,2023-07-26,"[[false, true, true], [true, false, true], [true, false, true]]",Will
116,5,465,2023-07-27,"[[true, true, false], [false, false, false], [true, true, true]]",Cliff
116,6,374,2023-07-27,"[[true, true, true], [true, false, false], [true, true, false]]",Keith
116,3,671,2023-07-27,"[[false, false, true], [true, false, false], [true, false, false]]",Rachel
116,6,461,2023-07-27,"[[false, true, true], [false, false, true], [true, true, true]]",Sam
116,4,614,2023-07-27,"[[false, false, true], [false, false, true], [true, false, true]]",Will
117,3,794,2023-07-28,"[[false, false, true], [false, false, true], [false, false, true]]",Keith
117,2,825,2023-07-28,"[[false, false, true], [false, false, true], [false, false, false]]",Rachel
117,4,727,2023-07-28,"[[false, false, true], [false, true, true], [false, false, true]]",Sam
117,2,825,2023-07-28,"[[false, false, true], [false, false, true], [false, false, false]]",Will
118,8,242,2023-07-29,"[[true, true, true], [false, true, true], [true, true, true]]",Cliff
118,3,635,2023-07-29,"[[false, false, false], [false, false, false], [true, true, true]]",Keith
118,3,688,2023-07-29,"[[false, false, false], [false, false, false], [true, true, true]]",Rachel
118,4,614,2023-07-29,"[[true, false, false], [false, false, false], [true, true, true]]",Sam
118,5,450,2023-07-29,"[[true, false, false], [true, false, false], [true, true, true]]",Will
119,2,753,2023-07-30,"[[false, false, true], [false, false, false], [false, false, true]]",Cliff
119,3,730,2023-07-30,"[[false, true, false], [false, false, true], [false, false, true]]",Keith
119,4,645,2023-07-30,"[[false, true, false], [true, false, true], [false, false, true]]",Rachel
119,5,556,2023-07-30,"[[false, true, false], [true, true, true], [false, false, true]]",Sam
119,6,514,2023-07-30,"[[true, true, false], [false, true, true], [false, true, true]]",Will
120,5,450,2023-07-31,"[[false, true, true], [false, true, true], [false, false, true]]",Cliff
120,4,596,2023-07-31,"[[true, true, true], [false, true, false], [false, false, false]]",Keith
120,5,463,2023-07-31,"[[false, true, true], [false, true, true], [false, false, true]]",Rachel
120,6,392,2023-07-31,"[[true, true, true], [false, true, true], [false, false, true]]",Sam
120,8,286,2023-07-31,"[[true, true, true], [false, true, true], [true, true, true]]",Will
121,3,652,2023-08-01,"[[false, true, true], [false, false, true], [false, false, false]]",Cliff
121,1,805,2023-08-01,"[[false, false, false], [false, false, false], [true, false, false]]",Keith
121,2,823,2023-08-01,"[[false, false, false], [false, false, true], [false, false, true]]",Rachel
121,3,748,2023-08-01,"[[false, false, false], [false, true, true], [false, false, true]]",Sam
121,4,662,2023-08-01,"[[true, false, true], [false, false, true], [false, false, true]]",Will
122,5,443,2023-08-02,"[[true, true, true], [false, false, true], [false, false, true]]",Cliff
122,4,557,2023-08-02,"[[false, false, true], [false, false, true], [true, false, true]]",Keith
122,3,673,2023-08-02,"[[false, false, true], [false, false, true], [false, false, true]]",Rachel
122,3,670,2023-08-02,"[[false, false, true], [false, false, true], [false, false, true]]",Sam
122,3,633,2023-08-02,"[[false, false, true], [false, false, true], [false, false, true]]",Will
123,8,163,2023-08-03,"[[true, true, true], [false, true, true], [true, true, true]]",Cliff
123,7,372,2023-08-03,"[[false, false, true], [true, true, true], [true, true, true]]",Keith
123,7,356,2023-08-03,"[[false, false, true], [true, true, true], [true, true, true]]",Keith
123,8,163,2023-08-03,"[[true, true, true], [false, true, true], [true, true, true]]",Keith
123,6,453,2023-08-03,"[[false, false, true], [false, true, true], [true, true, true]]",Rachel
