,person,game,correct,score,date
0,Sam,101,7,470,2023-07-12
1,Sam,103,6,439,2023-07-14
2,Sam,104,1,821,2023-07-15
3,Sam,105,6,492,2023-07-16
4,Sam,106,5,632,2023-07-17
5,Sam,107,5,590,2023-07-18
6,Sam,108,6,386,2023-07-19
7,Sam,109,4,674,2023-07-20
8,Sam,110,4,689,2023-07-21
9,Sam,111,6,556,2023-07-22
10,Sam,112,5,524,2023-07-23
11,Sam,113,5,556,2023-07-24
12,Sam,114,6,423,2023-07-25
13,Sam,115,5,553,2023-07-26
14,Sam,116,6,461,2023-07-27
15,Sam,118,4,614,2023-07-29
16,Sam,117,4,727,2023-07-28
17,Sam,119,5,556,2023-07-30
18,Sam,120,6,392,2023-07-31
19,Sam,121,3,748,2023-08-01
20,Sam,122,3,670,2023-08-02
21,Sam,123,8,346,2023-08-03
22,Sam,124,7,441,2023-08-04
23,Sam,125,8,142,2023-08-05
24,Sam,126,7,315,2023-08-06
25,Sam,127,6,423,2023-08-07
26,Sam,128,4,574,2023-08-08
27,Sam,129,5,562,2023-08-09
28,Sam,130,5,544,2023-08-10
29,Sam,135,7,459,2023-08-15
30,Sam,139,7,317,2023-08-19
31,Sam,141,4,582,2023-08-21
32,Sam,142,7,336,2023-08-22
33,Sam,146,7,278,2023-08-26
34,Sam,148,5,579,2023-08-28
35,Sam,149,6,443,2023-08-29
36,Sam,152,2,753,2023-09-01
37,Sam,156,7,420,2023-09-05
38,Sam,157,7,397,2023-09-06
39,Sam,158,6,443,2023-09-07
40,Sam,159,5,503,2023-09-08
41,Sam,161,3,650,2023-09-10
42,Sam,162,8,363,2023-09-11
43,Sam,164,8,263,2023-09-13
44,Sam,166,7,376,2023-09-15
45,Sam,168,6,448,2023-09-17
46,Sam,167,7,294,2023-09-16
47,Sam,169,5,565,2023-09-18
48,Sam,170,8,272,2023-09-19
49,Sam,171,3,700,2023-09-20
50,Sam,172,5,620,2023-09-21
51,Sam,173,8,293,2023-09-22
52,Sam,175,6,500,2023-09-24
