correct,score,date,matrix,text,name
7,470,2023-07-12,"[[false, false, true], [true, true, true], [true, true, true]]","Immaculate Grid 101 7/9:
Rarity: 470
⬜️⬜️🟩
🟩🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,655,2023-07-12,"[[false, true, false], [false, false, true], [false, true, true]]","Immaculate Grid 101 4/9:
Rarity: 655
⬜️🟩⬜️
⬜️⬜️🟩
⬜️🟩🟩",Rachel
5,590,2023-07-12,"[[false, true, true], [false, true, true], [false, false, true]]","Immaculate Grid 101 5/9:
Rarity: 590
⬜️🟩🟩
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
4,689,2023-07-12,"[[false, true, true], [false, false, true], [false, true, false]]","Immaculate Grid 101 4/9:
Rarity: 689
⬜️🟩🟩
⬜️⬜️🟩
⬜️🟩⬜️
",Will
3,805,2023-07-13,"[[false, false, true], [false, false, false], [true, false, true]]","Immaculate Grid 102 3/9:
Rarity: 805
⬜️⬜️🟩
⬜️⬜️⬜️
🟩⬜️🟩",Rachel
4,703,2023-07-13,"[[false, false, true], [true, false, true], [false, false, true]]","Immaculate Grid 102 4/9:
Rarity: 703
⬜️⬜️🟩
🟩⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,752,2023-07-13,"[[false, false, true], [false, true, false], [false, false, true]]","Immaculate Grid 102 3/9:
Rarity: 752
⬜️⬜️🟩
⬜️🟩⬜️
⬜️⬜️🟩
3 but one of them was a random lucky guess",Will
6,439,2023-07-14,"[[false, true, true], [false, true, true], [true, false, true]]","Immaculate Grid 103 6/9:
Rarity: 439
⬜️🟩🟩
⬜️🟩🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,635,2023-07-14,"[[false, false, true], [false, false, true], [true, false, true]]","Immaculate Grid 103 4/9:
Rarity: 635
⬜️⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩",Rachel
6,468,2023-07-14,"[[true, false, true], [false, false, true], [true, true, true]]","Immaculate Grid 103 6/9:
Rarity: 468
🟩⬜️🟩
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
5,509,2023-07-14,"[[false, false, true], [false, false, true], [true, true, true]]","Immaculate Grid 103 5/9:
Rarity: 509
⬜️⬜️🟩
⬜️⬜️🟩
🟩🟩🟩
",Will
1,833,2023-07-15,"[[false, false, true], [false, false, false], [false, false, false]]","Immaculate Grid 104 1/9:
Rarity: 833
⬜️⬜️🟩
⬜️⬜️⬜️
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
1,821,2023-07-15,"[[false, false, false], [false, false, true], [false, false, false]]","Also this was a disaster:

Immaculate Grid 104 1/9:
Rarity: 821
⬜️⬜️⬜️
⬜️⬜️🟩
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
1,821,2023-07-15,"[[false, false, false], [false, false, true], [false, false, false]]","Immaculate Grid 104 1/9:
Rarity: 821
⬜️⬜️⬜️
⬜️⬜️🟩
⬜️⬜️⬜️
I think we had the exact same guy",Will
5,486,2023-07-15,"[[true, false, true], [true, true, true], [false, false, false]]","Immaculate Grid 104 5/9:
Rarity: 486
🟩⬜️🟩
🟩🟩🟩
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
1,821,2023-07-15,"[[false, false, false], [false, false, true], [false, false, false]]","Immaculate Grid 104 1/9:
Rarity: 821
⬜️⬜️⬜️
⬜️⬜️🟩
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
3,666,2023-07-16,"[[false, false, true], [false, false, true], [false, false, true]]","Immaculate Grid 105 3/9:
Rarity: 666
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
